,Username,Repo_Name,Repo-Url,Repo_stars
0,mrdoob          ,three.js,https://github.com/mrdoob/three.js,79.2k
1,libgdx          ,libgdx,https://github.com/libgdx/libgdx,19.7k
2,pmndrs          ,react-three-fiber,https://github.com/pmndrs/react-three-fiber,16.9k
3,BabylonJS       ,Babylon.js,https://github.com/BabylonJS/Babylon.js,15.9k
4,aframevr        ,aframe,https://github.com/aframevr/aframe,13.8k
5,lettier         ,3d-game-shaders-for-beginners,https://github.com/lettier/3d-game-shaders-for-beginners,12.2k
6,ssloy          /,tinyrenderer,https://github.com/ssloy/tinyrenderer,12.1k
7,FreeCAD         ,FreeCAD,https://github.com/FreeCAD/FreeCAD,10.7k
8,metafizzy       ,zdog,https://github.com/metafizzy/zdog,9k
9,CesiumGS        ,cesium,https://github.com/CesiumGS/cesium,8.3k
10,timzhang642     ,3D-Machine-Learning,https://github.com/timzhang642/3D-Machine-Learning,7.6k
11,a1studmuffin    ,SpaceshipGenerator,https://github.com/a1studmuffin/SpaceshipGenerator,7.1k
12,isl-org         ,Open3D,https://github.com/isl-org/Open3D,6.2k
13,domlysz         ,BlenderGIS,https://github.com/domlysz/BlenderGIS,4.9k
14,blender         ,blender,https://github.com/blender/blender,4.8k
15,spritejs        ,spritejs,https://github.com/spritejs/spritejs,4.8k
16,openscad        ,openscad,https://github.com/openscad/openscad,4.6k
17,tensorspace-team,tensorspace,https://github.com/tensorspace-team/tensorspace,4.6k
18,jagenjo         ,webglstudio.js,https://github.com/jagenjo/webglstudio.js,4.6k
19,YadiraF         ,PRNet,https://github.com/YadiraF/PRNet,4.5k
20,AaronJackson    ,vrn,https://github.com/AaronJackson/vrn,4.4k
21,ssloy          /,tinyraytracer,https://github.com/ssloy/tinyraytracer,4k
22,google          ,model-viewer,https://github.com/google/model-viewer,4k
23,mosra          /,magnum,https://github.com/mosra/magnum,3.8k
24,gfxfundamentals ,webgl-fundamentals,https://github.com/gfxfundamentals/webgl-fundamentals,3.4k
25,FyroxEngine     ,Fyrox,https://github.com/FyroxEngine/Fyrox,3.4k
26,cleardusk       ,3DDFA,https://github.com/cleardusk/3DDFA,3.2k
27,tengbao         ,vanta,https://github.com/tengbao/vanta,3.2k
28,jasonlong       ,isometric-contributions,https://github.com/jasonlong/isometric-contributions,3.1k
29,cnr-isti-vclab  ,meshlab,https://github.com/cnr-isti-vclab/meshlab,2.8k
