,Username,Repo_Name,Repo-Url,Repo_stars
0,aspnetboilerplat,aspnetboilerplate,https://github.com/aspnetboilerplate/aspnetboilerplate,10.2k
1,dotnet          ,AspNetCore.Docs,https://github.com/dotnet/AspNetCore.Docs,10.1k
2,bitwarden       ,server,https://github.com/bitwarden/server,9.2k
3,nopSolutions    ,nopCommerce,https://github.com/nopSolutions/nopCommerce,7k
4,ElectronNET     ,Electron.NET,https://github.com/ElectronNET/Electron.NET,6.2k
5,RicoSuter       ,NSwag,https://github.com/RicoSuter/NSwag,5k
6,thangchung      ,clean-code-dotnet,https://github.com/thangchung/clean-code-dotnet,4.6k
7,JimBobSquarePant,ImageProcessor,https://github.com/JimBobSquarePants/ImageProcessor,2.5k
8,smartstore      ,SmartStoreNET,https://github.com/smartstore/SmartStoreNET,2.4k
9,dotnet          ,aspnet-api-versioning,https://github.com/dotnet/aspnet-api-versioning,2.2k
10,loic-sharma     ,BaGet,https://github.com/loic-sharma/BaGet,1.9k
11,mjebrahimi      ,Awesome-Microservices-DotNet,https://github.com/mjebrahimi/Awesome-Microservices-DotNet,1.6k
12,TrilonIO        ,aspnetcore-angular-universal,https://github.com/TrilonIO/aspnetcore-angular-universal,1.5k
13,TrilonIO        ,aspnetcore-Vue-starter,https://github.com/TrilonIO/aspnetcore-Vue-starter,1.2k
14,lampo1024       ,DncZeus,https://github.com/lampo1024/DncZeus,1.2k
15,MarimerLLC      ,csla,https://github.com/MarimerLLC/csla,990
16,riganti         ,dotvvm,https://github.com/riganti/dotvvm,600
17,cornflourblue   ,aspnet-core-3-jwt-authentication-api,https://github.com/cornflourblue/aspnet-core-3-jwt-authentication-api,590
18,json-api-dotnet ,JsonApiDotNetCore,https://github.com/json-api-dotnet/JsonApiDotNetCore,539
19,antonioCoco     ,SharPyShell,https://github.com/antonioCoco/SharPyShell,519
20,chsakell        ,mvcarchitecture,https://github.com/chsakell/mvcarchitecture,451
21,brthor          ,Gofer.NET,https://github.com/brthor/Gofer.NET,433
22,YAFNET          ,YAFNET,https://github.com/YAFNET/YAFNET,423
23,Maarten88       ,rrod,https://github.com/Maarten88/rrod,379
24,IvanJosipovic   ,BlazorTable,https://github.com/IvanJosipovic/BlazorTable,373
25,SapphireDb      ,SapphireDb,https://github.com/SapphireDb/SapphireDb,369
26,Taritsyn        ,WebMarkupMin,https://github.com/Taritsyn/WebMarkupMin,348
27,chsakell        ,aspnet-core-identity,https://github.com/chsakell/aspnet-core-identity,333
28,EEParker        ,aspnetcore-vueclimiddleware,https://github.com/EEParker/aspnetcore-vueclimiddleware,319
29,ALMMa          /,datatables.aspnet,https://github.com/ALMMa/datatables.aspnet,284
