,Username,Repo_Name,Repo-Url,Repo_stars
0,metafizzy       ,infinite-scroll,https://github.com/metafizzy/infinite-scroll,7k
1,ljianshu        ,Blog,https://github.com/ljianshu/Blog,6.9k
2,developit       ,unfetch,https://github.com/developit/unfetch,5.3k
3,jquery-form     ,form,https://github.com/jquery-form/form,5.1k
4,olifolkerd      ,tabulator,https://github.com/olifolkerd/tabulator,4.4k
5,Studio-42       ,elFinder,https://github.com/Studio-42/elFinder,4.2k
6,ded          /  ,reqwest,https://github.com/ded/reqwest,2.9k
7,dwyl          / ,learn-to-send-email-via-google-script-html-no-server,https://github.com/dwyl/learn-to-send-email-via-google-script-html-no-server,2.8k
8,LeaVerou        ,bliss,https://github.com/LeaVerou/bliss,2.4k
9,elbywan         ,wretch,https://github.com/elbywan/wretch,2.3k
10,noelboss        ,featherlight,https://github.com/noelboss/featherlight,2k
11,wendux          ,Ajax-hook,https://github.com/wendux/Ajax-hook,2k
12,yisainan        ,web-interview,https://github.com/yisainan/web-interview,1.9k
13,craftpip        ,jquery-confirm,https://github.com/craftpip/jquery-confirm,1.8k
14,ptaoussanis     ,sente,https://github.com/ptaoussanis/sente,1.6k
15,joaomilho       ,Enterprise,https://github.com/joaomilho/Enterprise,1.5k
16,nette          /,tracy,https://github.com/nette/tracy,1.5k
17,u014427391      ,jeeplatform,https://github.com/u014427391/jeeplatform,1.3k
18,loadingio       ,css-spinner,https://github.com/loadingio/css-spinner,1.3k
19,MoOx          / ,pjax,https://github.com/MoOx/pjax,1.2k
20,codingforentrepr,eCommerce,https://github.com/codingforentrepreneurs/eCommerce,1.2k
21,danielm         ,uploader,https://github.com/danielm/uploader,1.1k
22,renderedtext    ,render_async,https://github.com/renderedtext/render_async,1k
23,swlib          /,saber,https://github.com/swlib/saber,943
24,proyecto26      ,RestClient,https://github.com/proyecto26/RestClient,866
25,opensource-socia,opensource-socialnetwork,https://github.com/opensource-socialnetwork/opensource-socialnetwork,843
26,webcreate       ,infinite-ajax-scroll,https://github.com/webcreate/infinite-ajax-scroll,842
27,k8w          /  ,tsrpc,https://github.com/k8w/tsrpc,828
28,rapidjs         ,rapid.js,https://github.com/rapidjs/rapid.js,709
29,csxiaoyaojianxia,JavaScriptStudy,https://github.com/csxiaoyaojianxian/JavaScriptStudy,595
