,Username,Repo_Name,Repo-Url,Repo_stars
0,jwasham         ,coding-interview-university,https://github.com/jwasham/coding-interview-university,210k
1,CyC2018         ,CS-Notes,https://github.com/CyC2018/CS-Notes,146k
2,trekhleb        ,javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,135k
3,TheAlgorithms   ,Python,https://github.com/TheAlgorithms/Python,130k
4,yangshun        ,tech-interview-handbook,https://github.com/yangshun/tech-interview-handbook,66.2k
5,kdn251          ,interviews,https://github.com/kdn251/interviews,56.2k
6,azl397985856    ,leetcode,https://github.com/azl397985856/leetcode,46.6k
7,TheAlgorithms   ,Java,https://github.com/TheAlgorithms/Java,44.4k
8,algorithm-visual,algorithm-visualizer,https://github.com/algorithm-visualizer/algorithm-visualizer,36.3k
9,crossoverJie    ,JCSprout,https://github.com/crossoverJie/JCSprout,26.6k
10,donnemartin     ,interactive-coding-challenges,https://github.com/donnemartin/interactive-coding-challenges,24.8k
11,halfrost        ,LeetCode-Go,https://github.com/halfrost/LeetCode-Go,23.4k
12,youngyangyang04 ,leetcode-master,https://github.com/youngyangyang04/leetcode-master,22.6k
13,huihut          ,interview,https://github.com/huihut/interview,22.4k
14,keon          / ,algorithms,https://github.com/keon/algorithms,20.4k
15,trekhleb        ,homemade-machine-learning,https://github.com/trekhleb/homemade-machine-learning,18.9k
16,TheAlgorithms   ,C-Plus-Plus,https://github.com/TheAlgorithms/C-Plus-Plus,18k
17,TheAlgorithms   ,Javascript,https://github.com/TheAlgorithms/Javascript,17.6k
18,mxgmn          /,WaveFunctionCollapse,https://github.com/mxgmn/WaveFunctionCollapse,17.4k
19,AtsushiSakai    ,PythonRobotics,https://github.com/AtsushiSakai/PythonRobotics,14.5k
20,greyireland     ,algorithm-pattern,https://github.com/greyireland/algorithm-pattern,13.2k
21,OpenGenus       ,cosmos,https://github.com/OpenGenus/cosmos,13k
22,williamfiset    ,Algorithms,https://github.com/williamfiset/Algorithms,12k
23,halfrost        ,Halfrost-Field,https://github.com/halfrost/Halfrost-Field,10.6k
24,apachecn        ,apachecn-algo-zh,https://github.com/apachecn/apachecn-algo-zh,10.5k
25,lnishan         ,awesome-competitive-programming,https://github.com/lnishan/awesome-competitive-programming,9.4k
26,Blankj          ,awesome-java-leetcode,https://github.com/Blankj/awesome-java-leetcode,8.3k
27,jeffgerickson   ,algorithms,https://github.com/jeffgerickson/algorithms,7.4k
28,mgechev         ,javascript-algorithms,https://github.com/mgechev/javascript-algorithms,7.1k
29,LeetCode-OpenSou,vscode-leetcode,https://github.com/LeetCode-OpenSource/vscode-leetcode,7.1k
