,Username,Repo_Name,Repo-Url,Repo_stars
0,amphp          /,amp,https://github.com/amphp/amp,3.5k
1,danog          /,MadelineProto,https://github.com/danog/MadelineProto,1.8k
2,amphp          /,http-server,https://github.com/amphp/http-server,1.2k
3,unreal4u        ,telegram-api,https://github.com/unreal4u/telegram-api,690
4,amphp          /,http-client,https://github.com/amphp/http-client,599
5,amphp          /,parallel,https://github.com/amphp/parallel,567
6,php-service-bus ,service-bus,https://github.com/php-service-bus/service-bus,316
7,amphp          /,byte-stream,https://github.com/amphp/byte-stream,274
8,amphp          /,mysql,https://github.com/amphp/mysql,263
9,amphp          /,parallel-functions,https://github.com/amphp/parallel-functions,216
10,amphp          /,process,https://github.com/amphp/process,162
11,amphp          /,socket,https://github.com/amphp/socket,151
12,amphp          /,redis,https://github.com/amphp/redis,121
13,amphp          /,dns,https://github.com/amphp/dns,109
14,kelunik         ,acme,https://github.com/kelunik/acme,106
15,amphp          /,websocket-client,https://github.com/amphp/websocket-client,97
16,amphp          /,sync,https://github.com/amphp/sync,99
17,PeeHaa          ,mailgrab,https://github.com/PeeHaa/mailgrab,91
18,amphp          /,websocket-server,https://github.com/amphp/websocket-server,74
19,amphp          /,file,https://github.com/amphp/file,70
20,jolicode        ,asynit,https://github.com/jolicode/asynit,68
21,amphp          /,cache,https://github.com/amphp/cache,65
22,amphp          /,postgres,https://github.com/amphp/postgres,63
23,amphp          /,serialization,https://github.com/amphp/serialization,64
24,amphp          /,windows-registry,https://github.com/amphp/windows-registry,60
25,amphp          /,hpack,https://github.com/amphp/hpack,59
26,amphp          /,beanstalk,https://github.com/amphp/beanstalk,56
27,phpinnacle      ,ridge,https://github.com/phpinnacle/ridge,45
28,amphp          /,aerys,https://github.com/amphp/aerys,42
29,amphp          /,cluster,https://github.com/amphp/cluster,41
