,Username,Repo_Name,Repo-Url,Repo_stars
0,flutter         ,flutter,https://github.com/flutter/flutter,137k
1,justjavac       ,free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,87.5k
2,Genymobile      ,scrcpy,https://github.com/Genymobile/scrcpy,61.4k
3,Hack-with-Github,Awesome-Hacking,https://github.com/Hack-with-Github/Awesome-Hacking,49.4k
4,google          ,material-design-icons,https://github.com/google/material-design-icons,45.1k
5,wasabeef        ,awesome-android-ui,https://github.com/wasabeef/awesome-android-ui,42.1k
6,square          ,okhttp,https://github.com/square/okhttp,41.6k
7,android         ,architecture-samples,https://github.com/android/architecture-samples,40.2k
8,square          ,retrofit,https://github.com/square/retrofit,39.5k
9,Solido          ,awesome-flutter,https://github.com/Solido/awesome-flutter,39.4k
10,PhilJay         ,MPAndroidChart,https://github.com/PhilJay/MPAndroidChart,34.7k
11,fastlane        ,fastlane,https://github.com/fastlane/fastlane,34.1k
12,airbnb          ,lottie-android,https://github.com/airbnb/lottie-android,32.4k
13,shadowsocks     ,shadowsocks-android,https://github.com/shadowsocks/shadowsocks-android,32.3k
14,bumptech        ,glide,https://github.com/bumptech/glide,32.2k
15,Trinea          ,android-open-project,https://github.com/Trinea/android-open-project,30.8k
16,Blankj          ,AndroidUtilCode,https://github.com/Blankj/AndroidUtilCode,30.4k
17,xitu          / ,gold-miner,https://github.com/xitu/gold-miner,30.2k
18,bilibili        ,ijkplayer,https://github.com/bilibili/ijkplayer,30k
19,zxing          /,zxing,https://github.com/zxing/zxing,29.2k
20,skylot          ,jadx,https://github.com/skylot/jadx,29.1k
21,laurent22       ,joplin,https://github.com/laurent22/joplin,28.2k
22,codepath        ,android_guides,https://github.com/codepath/android_guides,27.7k
23,square          ,leakcanary,https://github.com/square/leakcanary,27.2k
24,alibaba         ,fastjson,https://github.com/alibaba/fastjson,24.1k
25,scwang90        ,SmartRefreshLayout,https://github.com/scwang90/SmartRefreshLayout,23.3k
26,CymChad         ,BaseRecyclerViewAdapterHelper,https://github.com/CymChad/BaseRecyclerViewAdapterHelper,22.6k
27,react-native-ele,react-native-elements,https://github.com/react-native-elements/react-native-elements,22k
28,google          ,iosched,https://github.com/google/iosched,21.1k
29,NativeScript    ,NativeScript,https://github.com/NativeScript/NativeScript,20.9k
