,Username,Repo_Name,Repo-Url,Repo_stars
0,justjavac       ,free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,87.5k
1,angular         ,angular,https://github.com/angular/angular,79.7k
2,storybookjs     ,storybook,https://github.com/storybookjs/storybook,68.9k
3,leonardomso     ,33-js-concepts,https://github.com/leonardomso/33-js-concepts,47k
4,ionic-team      ,ionic-framework,https://github.com/ionic-team/ionic-framework,46.4k
5,prettier        ,prettier,https://github.com/prettier/prettier,41.9k
6,SheetJS         ,sheetjs,https://github.com/SheetJS/sheetjs,29.1k
7,angular         ,angular-cli,https://github.com/angular/angular-cli,25.2k
8,angular         ,components,https://github.com/angular/components,22.5k
9,NativeScript    ,NativeScript,https://github.com/NativeScript/NativeScript,20.9k
10,jhipster        ,generator-jhipster,https://github.com/jhipster/generator-jhipster,19.3k
11,pubkey          ,rxdb,https://github.com/pubkey/rxdb,17.1k
12,handsontable    ,handsontable,https://github.com/handsontable/handsontable,16.2k
13,teambit         ,bit,https://github.com/teambit/bit,14.7k
14,goldbergyoni    ,javascript-testing-best-practices,https://github.com/goldbergyoni/javascript-testing-best-practices,14.5k
15,sweetalert2     ,sweetalert2,https://github.com/sweetalert2/sweetalert2,14.2k
16,linnovate       ,mean,https://github.com/linnovate/mean,12.1k
17,codesandbox     ,codesandbox-client,https://github.com/codesandbox/codesandbox-client,11.2k
18,nrwl          / ,nx,https://github.com/nrwl/nx,10.9k
19,PatrickJS       ,angular-starter,https://github.com/PatrickJS/angular-starter,10.4k
20,Chocobozzz      ,PeerTube,https://github.com/Chocobozzz/PeerTube,10.3k
21,angular         ,protractor,https://github.com/angular/protractor,8.8k
22,OnsenUI         ,OnsenUI,https://github.com/OnsenUI/OnsenUI,8.5k
23,dotansimha      ,graphql-code-generator,https://github.com/dotansimha/graphql-code-generator,8.3k
24,PatrickJS       ,awesome-angular,https://github.com/PatrickJS/awesome-angular,8.2k
25,sudheerj        ,javascript-interview-questions,https://github.com/sudheerj/javascript-interview-questions,8.2k
26,text-mask       ,text-mask,https://github.com/text-mask/text-mask,8.1k
27,NG-ZORRO        ,ng-zorro-antd,https://github.com/NG-ZORRO/ng-zorro-antd,8k
28,ag-grid         ,ag-grid,https://github.com/ag-grid/ag-grid,8k
29,ng-bootstrap    ,ng-bootstrap,https://github.com/ng-bootstrap/ng-bootstrap,7.9k
