,Username,Repo_Name,Repo-Url,Repo_stars
0,ansible         ,ansible,https://github.com/ansible/ansible,52.2k
1,trailofbits     ,algo,https://github.com/trailofbits/algo,24.6k
2,StreisandEffect ,streisand,https://github.com/StreisandEffect/streisand,22.6k
3,bregman-arie    ,devops-exercises,https://github.com/bregman-arie/devops-exercises,21.3k
4,kubernetes-sigs ,kubespray,https://github.com/kubernetes-sigs/kubespray,11.9k
5,ansible         ,awx,https://github.com/ansible/awx,10.7k
6,easzlab         ,kubeasz,https://github.com/easzlab/kubeasz,7.8k
7,geerlingguy     ,ansible-for-devops,https://github.com/geerlingguy/ansible-for-devops,5.5k
8,khuedoan        ,homelab,https://github.com/khuedoan/homelab,5.3k
9,ansible-semaphor,semaphore,https://github.com/ansible-semaphore/semaphore,4.7k
10,rundeck         ,rundeck,https://github.com/rundeck/rundeck,4.5k
11,geerlingguy     ,mac-dev-playbook,https://github.com/geerlingguy/mac-dev-playbook,4.4k
12,Tikam02         ,DevOps-Guide,https://github.com/Tikam02/DevOps-Guide,4.3k
13,KubeOperator    ,KubeOperator,https://github.com/KubeOperator/KubeOperator,4.2k
14,clong          /,DetectionLab,https://github.com/clong/DetectionLab,3.4k
15,ansible-communit,molecule,https://github.com/ansible-community/molecule,3.3k
16,opendevops-cn   ,opendevops,https://github.com/opendevops-cn/opendevops,3.1k
17,werf          / ,werf,https://github.com/werf/werf,3k
18,MichaelCade     ,90DaysOfDevOps,https://github.com/MichaelCade/90DaysOfDevOps,2.9k
19,welliamcao      ,OpsManage,https://github.com/welliamcao/OpsManage,2.9k
20,netbootxyz      ,netboot.xyz,https://github.com/netbootxyz/netboot.xyz,2.9k
21,ansible-communit,ansible-lint,https://github.com/ansible-community/ansible-lint,2.7k
22,dev-sec         ,ansible-collection-hardening,https://github.com/dev-sec/ansible-collection-hardening,2.6k
23,alixaxel        ,chrome-aws-lambda,https://github.com/alixaxel/chrome-aws-lambda,2.6k
24,litmuschaos     ,litmus,https://github.com/litmuschaos/litmus,2.5k
25,roots          /,trellis,https://github.com/roots/trellis,2.3k
26,ansistrano      ,deploy,https://github.com/ansistrano/deploy,2.2k
27,openshift       ,openshift-ansible,https://github.com/openshift/openshift-ansible,2k
28,fboender        ,ansible-cmdb,https://github.com/fboender/ansible-cmdb,2k
29,pytest-dev      ,pytest-testinfra,https://github.com/pytest-dev/pytest-testinfra,2k
