,Username,Repo_Name,Repo-Url,Repo_stars
0,arendst         ,Tasmota,https://github.com/arendst/Tasmota,17.1k
1,MarlinFirmware  ,Marlin,https://github.com/MarlinFirmware/Marlin,12.7k
2,rwaldron        ,johnny-five,https://github.com/rwaldron/johnny-five,12.5k
3,arduino         ,Arduino,https://github.com/arduino/Arduino,12.5k
4,SpacehuhnTech   ,esp8266_deauther,https://github.com/SpacehuhnTech/esp8266_deauther,9.6k
5,tinygo-org      ,tinygo,https://github.com/tinygo-org/tinygo,9.5k
6,espressif       ,arduino-esp32,https://github.com/espressif/arduino-esp32,8.1k
7,hybridgroup     ,gobot,https://github.com/hybridgroup/gobot,7.6k
8,gurugio         ,lowlevelprogramming-university,https://github.com/gurugio/lowlevelprogramming-university,7.4k
9,platformio      ,platformio-core,https://github.com/platformio/platformio-core,5.7k
10,bblanchon       ,ArduinoJson,https://github.com/bblanchon/ArduinoJson,5.6k
11,tzapu          /,WiFiManager,https://github.com/tzapu/WiFiManager,5k
12,hybridgroup     ,cylon,https://github.com/hybridgroup/cylon,3.9k
13,Arduino-IRremote,Arduino-IRremote,https://github.com/Arduino-IRremote/Arduino-IRremote,3.5k
14,blynkkk         ,blynk-library,https://github.com/blynkkk/blynk-library,3.4k
15,arduino         ,arduino-cli,https://github.com/arduino/arduino-cli,3.3k
16,NectarJS        ,nectarjs,https://github.com/NectarJS/nectarjs,3.2k
17,olikraus        ,u8g2,https://github.com/olikraus/u8g2,2.9k
18,gioblu          ,PJON,https://github.com/gioblu/PJON,2.6k
19,1technophile    ,OpenMQTTGateway,https://github.com/1technophile/OpenMQTTGateway,2.5k
20,Serial-Studio   ,Serial-Studio,https://github.com/Serial-Studio/Serial-Studio,2.3k
21,scottlawsonbc   ,audio-reactive-led-strip,https://github.com/scottlawsonbc/audio-reactive-led-strip,2.3k
22,isl-org         ,OpenBot,https://github.com/isl-org/OpenBot,2.1k
23,crankyoldgit    ,IRremoteESP8266,https://github.com/crankyoldgit/IRremoteESP8266,2k
24,scottbez1       ,splitflap,https://github.com/scottbez1/splitflap,2k
25,nRF24          /,RF24,https://github.com/nRF24/RF24,1.8k
26,stm32duino      ,Arduino_Core_STM32,https://github.com/stm32duino/Arduino_Core_STM32,1.8k
27,Bodmer          ,TFT_eSPI,https://github.com/Bodmer/TFT_eSPI,1.7k
28,blinker-iot     ,blinker-library,https://github.com/blinker-iot/blinker-library,1.7k
29,ThingPulse      ,esp8266-oled-ssd1306,https://github.com/ThingPulse/esp8266-oled-ssd1306,1.6k
