,Username,Repo_Name,Repo-Url,Repo_stars
0,atom          / ,atom,https://github.com/atom/atom,56.8k
1,themerdev       ,themer,https://github.com/themerdev/themer,4.6k
2,nteract         ,hydrogen,https://github.com/nteract/hydrogen,3.8k
3,shd101wyy       ,markdown-preview-enhanced,https://github.com/shd101wyy/markdown-preview-enhanced,3.6k
4,miniflux        ,v2,https://github.com/miniflux/v2,3.3k
5,atom          / ,teletype,https://github.com/atom/teletype,2.4k
6,mehcode         ,awesome-atom,https://github.com/mehcode/awesome-atom,1.9k
7,mmcdole         ,gofeed,https://github.com/mmcdole/gofeed,1.8k
8,joefitzgerald   ,go-plus,https://github.com/joefitzgerald/go-plus,1.5k
9,Glavin001       ,atom-beautify,https://github.com/Glavin001/atom-beautify,1.5k
10,simplepie       ,simplepie,https://github.com/simplepie/simplepie,1.4k
11,t9md          / ,atom-vim-mode-plus,https://github.com/t9md/atom-vim-mode-plus,1.4k
12,ocaml          /,merlin,https://github.com/ocaml/merlin,1.4k
13,kurtmckee       ,feedparser,https://github.com/kurtmckee/feedparser,1.4k
14,MagicStack      ,MagicPython,https://github.com/MagicStack/MagicPython,1.3k
15,atom          / ,apm,https://github.com/atom/apm,1.2k
16,file-icons      ,atom,https://github.com/file-icons/atom,1.2k
17,kettanaito      ,atomic-layout,https://github.com/kettanaito/atomic-layout,1.1k
18,atom          / ,github,https://github.com/atom/github,998
19,nmdias          ,FeedKit,https://github.com/nmdias/FeedKit,962
20,nathanbuchar    ,atom-one-dark-terminal,https://github.com/nathanbuchar/atom-one-dark-terminal,948
21,danhper         ,atomic-chrome,https://github.com/danhper/atomic-chrome,926
22,jesseweed       ,seti-ui,https://github.com/jesseweed/seti-ui,887
23,fwcd          / ,kotlin-language-server,https://github.com/fwcd/kotlin-language-server,871
24,prettier        ,prettier-atom,https://github.com/prettier/prettier-atom,770
25,raphamorim      ,lucario,https://github.com/raphamorim/lucario,739
26,atom-community  ,atom-script,https://github.com/atom-community/atom-script,731
27,jpmonette       ,feed,https://github.com/jpmonette/feed,722
28,jasonmunro      ,cypht,https://github.com/jasonmunro/cypht,697
29,jekyll          ,jekyll-feed,https://github.com/jekyll/jekyll-feed,693
