,Username,Repo_Name,Repo-Url,Repo_stars
0,sindresorhus    ,awesome,https://github.com/sindresorhus/awesome,190k
1,vinta          /,awesome-python,https://github.com/vinta/awesome-python,117k
2,awesome-selfhost,awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,77.9k
3,avelino         ,awesome-go,https://github.com/avelino/awesome-go,75.6k
4,trimstray       ,the-book-of-secret-knowledge,https://github.com/trimstray/the-book-of-secret-knowledge,60.1k
5,papers-we-love  ,papers-we-love,https://github.com/papers-we-love/papers-we-love,53.2k
6,521xueweihan    ,HelloGitHub,https://github.com/521xueweihan/HelloGitHub,52.5k
7,Hack-with-Github,Awesome-Hacking,https://github.com/Hack-with-Github/Awesome-Hacking,49.4k
8,jaywcjlove      ,awesome-mac,https://github.com/jaywcjlove/awesome-mac,47.8k
9,DopplerHQ       ,awesome-interview-questions,https://github.com/DopplerHQ/awesome-interview-questions,45.2k
10,sindresorhus    ,awesome-nodejs,https://github.com/sindresorhus/awesome-nodejs,43.8k
11,wasabeef        ,awesome-android-ui,https://github.com/wasabeef/awesome-android-ui,42.1k
12,Solido          ,awesome-flutter,https://github.com/Solido/awesome-flutter,39.4k
13,prakhar1989     ,awesome-courses,https://github.com/prakhar1989/awesome-courses,39.3k
14,vsouza          ,awesome-ios,https://github.com/vsouza/awesome-ios,39k
15,MunGell         ,awesome-for-beginners,https://github.com/MunGell/awesome-for-beginners,38.7k
16,binhnguyennus   ,awesome-scalability,https://github.com/binhnguyennus/awesome-scalability,37.4k
17,fffaraz         ,awesome-cpp,https://github.com/fffaraz/awesome-cpp,35.9k
18,tiimgreen       ,github-cheat-sheet,https://github.com/tiimgreen/github-cheat-sheet,33.9k
19,dypsilon        ,frontend-dev-bookmarks,https://github.com/dypsilon/frontend-dev-bookmarks,33.2k
20,akullpp         ,awesome-java,https://github.com/akullpp/awesome-java,31.4k
21,serhii-londar   ,open-source-mac-os-apps,https://github.com/serhii-londar/open-source-mac-os-apps,29.5k
22,dkhamsing       ,open-source-ios-apps,https://github.com/dkhamsing/open-source-ios-apps,29.4k
23,brillout        ,awesome-react-components,https://github.com/brillout/awesome-react-components,29k
24,ziadoz          ,awesome-php,https://github.com/ziadoz/awesome-php,26.2k
25,herrbischoff    ,awesome-macos-command-line,https://github.com/herrbischoff/awesome-macos-command-line,25.6k
26,rust-unofficial ,awesome-rust,https://github.com/rust-unofficial/awesome-rust,24.3k
27,goabstract      ,Awesome-Design-Tools,https://github.com/goabstract/Awesome-Design-Tools,23.9k
28,alebcay         ,awesome-shell,https://github.com/alebcay/awesome-shell,23k
29,sindresorhus    ,awesome-electron,https://github.com/sindresorhus/awesome-electron,22.4k
