,Username,Repo_Name,Repo-Url,Repo_stars
0,bregman-arie    ,devops-exercises,https://github.com/bregman-arie/devops-exercises,21.3k
1,ramitsurana     ,awesome-kubernetes,https://github.com/ramitsurana/awesome-kubernetes,12.5k
2,microsoft       ,recommenders,https://github.com/microsoft/recommenders,12.4k
3,pulumi          ,pulumi,https://github.com/pulumi/pulumi,11.5k
4,Azure          /,azure-quickstart-templates,https://github.com/Azure/azure-quickstart-templates,11.4k
5,mozilla         ,sops,https://github.com/mozilla/sops,9.2k
6,microsoft       ,computervision-recipes,https://github.com/microsoft/computervision-recipes,8.3k
7,google          ,go-cloud,https://github.com/google/go-cloud,8.2k
8,caprover        ,caprover,https://github.com/caprover/caprover,8.2k
9,microsoft       ,azuredatastudio,https://github.com/microsoft/azuredatastudio,6.7k
10,node-formidable ,formidable,https://github.com/node-formidable/formidable,6.1k
11,infracost       ,infracost,https://github.com/infracost/infracost,5.4k
12,midwayjs        ,midway,https://github.com/midwayjs/midway,5.3k
13,thangchung      ,clean-code-dotnet,https://github.com/thangchung/clean-code-dotnet,4.6k
14,budtmo          ,docker-android,https://github.com/budtmo/docker-android,4.2k
15,cloud-custodian ,cloud-custodian,https://github.com/cloud-custodian/cloud-custodian,4k
16,nccgroup        ,ScoutSuite,https://github.com/nccgroup/ScoutSuite,4k
17,aquasecurity    ,tfsec,https://github.com/aquasecurity/tfsec,3.9k
18,bridgecrewio    ,checkov,https://github.com/bridgecrewio/checkov,3.8k
19,Azure          /,autorest,https://github.com/Azure/autorest,3.7k
20,simov          /,grant,https://github.com/simov/grant,3.6k
21,Azure          /,azure-sdk-for-net,https://github.com/Azure/azure-sdk-for-net,3.3k
22,microsoft       ,SynapseML,https://github.com/microsoft/SynapseML,3.1k
23,hashicorp       ,terraform-provider-azurerm,https://github.com/hashicorp/terraform-provider-azurerm,3.1k
24,Azure          /,azure-powershell,https://github.com/Azure/azure-powershell,2.9k
25,Azure          /,azure-cli,https://github.com/Azure/azure-cli,2.9k
26,Azure          /,MachineLearningNotebooks,https://github.com/Azure/MachineLearningNotebooks,2.9k
27,mlabouardy      ,komiser,https://github.com/mlabouardy/komiser,2.7k
28,APIs-guru       ,openapi-directory,https://github.com/APIs-guru/openapi-directory,2.7k
29,Azure          /,azure-sdk-for-python,https://github.com/Azure/azure-sdk-for-python,2.5k
