,Username,Repo_Name,Repo-Url,Repo_stars
0,babel          /,babel,https://github.com/babel/babel,40.4k
1,nylas          /,nylas-mail,https://github.com/nylas/nylas-mail,24.6k
2,kriasoft        ,react-starter-kit,https://github.com/kriasoft/react-starter-kit,21.1k
3,swc-project     ,swc,https://github.com/swc-project/swc,20.5k
4,avajs          /,ava,https://github.com/avajs/ava,19.6k
5,electron-react-b,electron-react-boilerplate,https://github.com/electron-react-boilerplate/electron-react-boilerplate,19.1k
6,SimulatedGREG   ,electron-vue,https://github.com/SimulatedGREG/electron-vue,14.7k
7,grab          / ,front-end-guide,https://github.com/grab/front-end-guide,14.2k
8,jamiebuilds     ,babel-handbook,https://github.com/jamiebuilds/babel-handbook,10.7k
9,grommet         ,grommet,https://github.com/grommet/grommet,7.8k
10,developit       ,htm,https://github.com/developit/htm,7.4k
11,angular-fullstac,generator-angular-fullstack,https://github.com/angular-fullstack/generator-angular-fullstack,6.1k
12,documentationjs ,documentation,https://github.com/documentationjs/documentation,5.5k
13,insin          /,nwb,https://github.com/insin/nwb,5.4k
14,ben-rogerson    ,twin.macro,https://github.com/ben-rogerson/twin.macro,5.4k
15,egoist          ,poi,https://github.com/egoist/poi,5.3k
16,thinkjs         ,thinkjs,https://github.com/thinkjs/thinkjs,5.3k
17,transitive-bulls,create-react-library,https://github.com/transitive-bullshit/create-react-library,4.6k
18,babel          /,babel-loader,https://github.com/babel/babel-loader,4.6k
19,jaredpalmer     ,backpack,https://github.com/jaredpalmer/backpack,4.5k
20,duxianwei520    ,react,https://github.com/duxianwei520/react,4.5k
21,fkling          ,astexplorer,https://github.com/fkling/astexplorer,4.4k
22,babel          /,minify,https://github.com/babel/minify,4.3k
23,tleunen         ,babel-plugin-module-resolver,https://github.com/tleunen/babel-plugin-module-resolver,3.2k
24,andywer         ,webpack-blocks,https://github.com/andywer/webpack-blocks,3k
25,babel          /,babel-eslint,https://github.com/babel/babel-eslint,3k
26,thx          /  ,gogocode,https://github.com/thx/gogocode,2.9k
27,kunalkapadia    ,express-mongoose-es6-rest-api,https://github.com/kunalkapadia/express-mongoose-es6-rest-api,2.8k
28,privatenumber   ,esbuild-loader,https://github.com/privatenumber/esbuild-loader,2.7k
29,uidotdev        ,react-course,https://github.com/uidotdev/react-course,2.5k
