,Username,Repo_Name,Repo-Url,Repo_stars
0,jlevy          /,the-art-of-command-line,https://github.com/jlevy/the-art-of-command-line,102k
1,nvm-sh          ,nvm,https://github.com/nvm-sh/nvm,55.5k
2,junegunn        ,fzf,https://github.com/junegunn/fzf,42.2k
3,dylanaraps      ,pure-bash-bible,https://github.com/dylanaraps/pure-bash-bible,30.1k
4,koalaman        ,shellcheck,https://github.com/koalaman/shellcheck,27.9k
5,mathiasbynens   ,dotfiles,https://github.com/mathiasbynens/dotfiles,27.5k
6,LeCoupa         ,awesome-cheatsheets,https://github.com/LeCoupa/awesome-cheatsheets,27k
7,acmesh-official ,acme.sh,https://github.com/acmesh-official/acme.sh,25.4k
8,alebcay         ,awesome-shell,https://github.com/alebcay/awesome-shell,23k
9,starship        ,starship,https://github.com/starship/starship,22.6k
10,jaywcjlove      ,linux-command,https://github.com/jaywcjlove/linux-command,17.9k
11,Nyr          /  ,openvpn-install,https://github.com/Nyr/openvpn-install,14.5k
12,dylanaraps      ,neofetch,https://github.com/dylanaraps/neofetch,14.3k
13,rbenv          /,rbenv,https://github.com/rbenv/rbenv,14k
14,powerline       ,powerline,https://github.com/powerline/powerline,13.1k
15,shelljs         ,shelljs,https://github.com/shelljs/shelljs,13k
16,Bash-it         ,bash-it,https://github.com/Bash-it/bash-it,12.8k
17,jessfraz        ,dockerfiles,https://github.com/jessfraz/dockerfiles,12.4k
18,faressoft       ,terminalizer,https://github.com/faressoft/terminalizer,12.3k
19,withfig         ,autocomplete,https://github.com/withfig/autocomplete,10.9k
20,denisidoro      ,navi,https://github.com/denisidoro/navi,10.3k
21,codota          ,TabNine,https://github.com/codota/TabNine,9k
22,rgcr          / ,m-cli,https://github.com/rgcr/m-cli,8.7k
23,alexanderepstein,Bash-Snippets,https://github.com/alexanderepstein/Bash-Snippets,8.6k
24,direnv          ,direnv,https://github.com/direnv/direnv,8.4k
25,kanaka          ,mal,https://github.com/kanaka/mal,8.4k
26,skywind3000     ,awesome-cheatsheets,https://github.com/skywind3000/awesome-cheatsheets,8.1k
27,carlospolop     ,PEASS-ng,https://github.com/carlospolop/PEASS-ng,7.8k
28,angristan       ,openvpn-install,https://github.com/angristan/openvpn-install,7.5k
29,extrawurst      ,gitui,https://github.com/extrawurst/gitui,7.3k
