,Username,Repo_Name,Repo-Url,Repo_stars
0,bitcoin         ,bitcoin,https://github.com/bitcoin/bitcoin,62k
1,ccxt          / ,ccxt,https://github.com/ccxt/ccxt,23.3k
2,HelloZeroNet    ,ZeroNet,https://github.com/HelloZeroNet/ZeroNet,17.3k
3,freqtrade       ,freqtrade,https://github.com/freqtrade/freqtrade,15.9k
4,askmike         ,gekko,https://github.com/askmike/gekko,9.9k
5,bbfamily        ,abu,https://github.com/bbfamily/abu,8.8k
6,solana-labs     ,solana,https://github.com/solana-labs/solana,7.4k
7,lbryio          ,lbry-sdk,https://github.com/lbryio/lbry-sdk,7.1k
8,dvf          /  ,blockchain,https://github.com/dvf/blockchain,6.7k
9,yeasy          /,blockchain_guide,https://github.com/yeasy/blockchain_guide,6k
10,lightningnetwork,lnd,https://github.com/lightningnetwork/lnd,5.8k
11,butor          /,blackbird,https://github.com/butor/blackbird,5.5k
12,spesmilo        ,electrum,https://github.com/spesmilo/electrum,5.5k
13,btcsuite        ,btcd,https://github.com/btcsuite/btcd,4.7k
14,bitcoinjs       ,bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib,4.5k
15,bitcoinj        ,bitcoinj,https://github.com/bitcoinj/bitcoinj,4.2k
16,bisq-network    ,bisq,https://github.com/bisq-network/bisq,3.9k
17,CryptoSignal    ,Crypto-Signal,https://github.com/CryptoSignal/Crypto-Signal,3.8k
18,michaelgrosner  ,tribeca,https://github.com/michaelgrosner/tribeca,3.7k
19,coinpride       ,CryptoList,https://github.com/coinpride/CryptoList,3.6k
20,Scanate         ,EthList,https://github.com/Scanate/EthList,3.6k
21,RomelTorres     ,alpha_vantage,https://github.com/RomelTorres/alpha_vantage,3.6k
22,jesse-ai        ,jesse,https://github.com/jesse-ai/jesse,3.6k
23,Zheaoli         ,awesome-coins,https://github.com/Zheaoli/awesome-coins,3.5k
24,bitpay          ,wallet,https://github.com/bitpay/wallet,3.4k
25,btcpayserver    ,btcpayserver,https://github.com/btcpayserver/btcpayserver,3.3k
26,SqueezerIO      ,squeezer,https://github.com/SqueezerIO/squeezer,3.3k
27,Jeiwan          ,blockchain_go,https://github.com/Jeiwan/blockchain_go,3.2k
28,cointop-sh      ,cointop,https://github.com/cointop-sh/cointop,3k
29,bitcoin-wallet  ,bitcoin-wallet,https://github.com/bitcoin-wallet/bitcoin-wallet,2.7k
