,Username,Repo_Name,Repo-Url,Repo_stars
0,ccxt          / ,ccxt,https://github.com/ccxt/ccxt,23.3k
1,python-telegram-,python-telegram-bot,https://github.com/python-telegram-bot/python-telegram-bot,17.7k
2,discordjs       ,discord.js,https://github.com/discordjs/discord.js,17.5k
3,hubotio         ,hubot,https://github.com/hubotio/hubot,16.1k
4,InstaPy         ,InstaPy,https://github.com/InstaPy/InstaPy,13.9k
5,RasaHQ          ,rasa,https://github.com/RasaHQ/rasa,13.6k
6,wechaty         ,wechaty,https://github.com/wechaty/wechaty,12.1k
7,gunthercox      ,ChatterBot,https://github.com/gunthercox/ChatterBot,12k
8,howdyai         ,botkit,https://github.com/howdyai/botkit,10.6k
9,botpress        ,botpress,https://github.com/botpress/botpress,9.6k
10,sfyc23          ,EverydayWechat,https://github.com/sfyc23/EverydayWechat,8.8k
11,tgbot-collection,YYeTsBot,https://github.com/tgbot-collection/YYeTsBot,8.7k
12,leon-ai         ,leon,https://github.com/leon-ai/leon,8.5k
13,microsoft       ,ailab,https://github.com/microsoft/ailab,6.9k
14,EZFNDEV         ,EZFN-Lobbybot,https://github.com/EZFNDEV/EZFN-Lobbybot,6.9k
15,microsoft       ,botframework-sdk,https://github.com/microsoft/botframework-sdk,6.7k
16,maxbbraun       ,trump2cash,https://github.com/maxbbraun/trump2cash,6.1k
17,yagop          /,node-telegram-bot-api,https://github.com/yagop/node-telegram-bot-api,5.9k
18,deepmipt        ,DeepPavlov,https://github.com/deepmipt/DeepPavlov,5.6k
19,botman          ,botman,https://github.com/botman/botman,5.6k
20,telegraf        ,telegraf,https://github.com/telegraf/telegraf,5.4k
21,pedroslopez     ,whatsapp-web.js,https://github.com/pedroslopez/whatsapp-web.js,4.9k
22,axa-group       ,nlp.js,https://github.com/axa-group/nlp.js,4.8k
23,jef          /  ,streetmerchant,https://github.com/jef/streetmerchant,4.8k
24,ohld          / ,igbot,https://github.com/ohld/igbot,4.1k
25,Mrs4s          /,go-cqhttp,https://github.com/Mrs4s/go-cqhttp,4k
26,Yoctol          ,bottender,https://github.com/Yoctol/bottender,3.8k
27,PokemonGoF      ,PokemonGo-Bot,https://github.com/PokemonGoF/PokemonGo-Bot,3.7k
28,chrisleekr      ,binance-trading-bot,https://github.com/chrisleekr/binance-trading-bot,3.7k
29,snipsco         ,snips-nlu,https://github.com/snipsco/snips-nlu,3.6k
