,Username,Repo_Name,Repo-Url,Repo_stars
0,CyC2018         ,CS-Notes,https://github.com/CyC2018/CS-Notes,146k
1,practical-tutori,project-based-learning,https://github.com/practical-tutorials/project-based-learning,63.1k
2,azl397985856    ,leetcode,https://github.com/azl397985856/leetcode,46.6k
3,x64dbg          ,x64dbg,https://github.com/x64dbg/x64dbg,38.1k
4,fffaraz         ,awesome-cpp,https://github.com/fffaraz/awesome-cpp,35.9k
5,microsoft       ,calculator,https://github.com/microsoft/calculator,23.8k
6,CMU-Perceptual-C,openpose,https://github.com/CMU-Perceptual-Computing-Lab/openpose,23.3k
7,youngyangyang04 ,leetcode-master,https://github.com/youngyangyang04/leetcode-master,22.6k
8,huihut          ,interview,https://github.com/huihut/interview,22.4k
9,yuzu-emu        ,yuzu,https://github.com/yuzu-emu/yuzu,19.1k
10,TheAlgorithms   ,C-Plus-Plus,https://github.com/TheAlgorithms/C-Plus-Plus,18k
11,changkun        ,modern-cpp-tutorial,https://github.com/changkun/modern-cpp-tutorial,16.6k
12,ethereum        ,solidity,https://github.com/ethereum/solidity,14.9k
13,microsoft       ,vcpkg,https://github.com/microsoft/vcpkg,14.9k
14,catchorg        ,Catch2,https://github.com/catchorg/Catch2,14.6k
15,gabime          ,spdlog,https://github.com/gabime/spdlog,13.9k
16,AnthonyCalandra ,modern-cpp-features,https://github.com/AnthonyCalandra/modern-cpp-features,13.5k
17,Qv2ray          ,Qv2ray,https://github.com/Qv2ray/Qv2ray,13.2k
18,facebook        ,infer,https://github.com/facebook/infer,13k
19,doocs          /,leetcode,https://github.com/doocs/leetcode,12.5k
20,CoatiSoftware   ,Sourcetrail,https://github.com/CoatiSoftware/Sourcetrail,12.4k
21,ssloy          /,tinyrenderer,https://github.com/ssloy/tinyrenderer,12.1k
22,google          ,tink,https://github.com/google/tink,12.1k
23,antlr          /,antlr4,https://github.com/antlr/antlr4,11.6k
24,kyleneideck     ,BackgroundMusic,https://github.com/kyleneideck/BackgroundMusic,11k
25,SFTtech         ,openage,https://github.com/SFTtech/openage,10.8k
26,OpenRCT2        ,OpenRCT2,https://github.com/OpenRCT2/OpenRCT2,10.3k
27,compiler-explore,compiler-explorer,https://github.com/compiler-explorer/compiler-explorer,10.2k
28,Ciphey          ,Ciphey,https://github.com/Ciphey/Ciphey,9.5k
29,hmemcpy         ,milewski-ctfp-pdf,https://github.com/hmemcpy/milewski-ctfp-pdf,9.2k
