,Username,Repo_Name,Repo-Url,Repo_stars
0,Genymobile      ,scrcpy,https://github.com/Genymobile/scrcpy,61.4k
1,neovim          ,neovim,https://github.com/neovim/neovim,50.9k
2,git          /  ,git,https://github.com/git/git,41.1k
3,obsproject      ,obs-studio,https://github.com/obsproject/obs-studio,36.3k
4,fffaraz         ,awesome-cpp,https://github.com/fffaraz/awesome-cpp,35.9k
5,serhii-londar   ,open-source-mac-os-apps,https://github.com/serhii-londar/open-source-mac-os-apps,29.5k
6,FFmpeg          ,FFmpeg,https://github.com/FFmpeg/FFmpeg,28.3k
7,vim          /  ,vim,https://github.com/vim/vim,26.2k
8,curl          / ,curl,https://github.com/curl/curl,23.7k
9,ggreer          ,the_silver_searcher,https://github.com/ggreer/the_silver_searcher,23.3k
10,huihut          ,interview,https://github.com/huihut/interview,22.4k
11,ruby          / ,ruby,https://github.com/ruby/ruby,18.9k
12,mpv-player      ,mpv,https://github.com/mpv-player/mpv,17.8k
13,google          ,flatbuffers,https://github.com/google/flatbuffers,17.5k
14,pbatard         ,rufus,https://github.com/pbatard/rufus,17.4k
15,ossrs          /,srs,https://github.com/ossrs/srs,17.3k
16,oracle          ,graal,https://github.com/oracle/graal,16.6k
17,radareorg       ,radare2,https://github.com/radareorg/radare2,15.8k
18,microsoft       ,vcpkg,https://github.com/microsoft/vcpkg,14.9k
19,shadowsocks     ,shadowsocks-libev,https://github.com/shadowsocks/shadowsocks-libev,14.8k
20,allinurl        ,goaccess,https://github.com/allinurl/goaccess,14.3k
21,kovidgoyal      ,kitty,https://github.com/kovidgoyal/kitty,13.7k
22,jarun          /,nnn,https://github.com/jarun/nnn,13.5k
23,vurtun          ,nuklear,https://github.com/vurtun/nuklear,13.4k
24,facebook        ,infer,https://github.com/facebook/infer,13k
25,CoatiSoftware   ,Sourcetrail,https://github.com/CoatiSoftware/Sourcetrail,12.4k
26,TheAlgorithms   ,C,https://github.com/TheAlgorithms/C,12.4k
27,hashcat         ,hashcat,https://github.com/hashcat/hashcat,11.7k
28,qmk          /  ,qmk_firmware,https://github.com/qmk/qmk_firmware,11.6k
29,s-matyukevich   ,raspberry-pi-os,https://github.com/s-matyukevich/raspberry-pi-os,11.2k
