,Username,Repo_Name,Repo-Url,Repo_stars
0,CSSEGISandData  ,COVID-19,https://github.com/CSSEGISandData/COVID-19,28.3k
1,covid19india    ,covid19india-react,https://github.com/covid19india/covid19india-react,6.9k
2,nytimes         ,covid-19-data,https://github.com/nytimes/covid-19-data,6.8k
3,tokyo-metropolit,covid19,https://github.com/tokyo-metropolitan-gov/covid19,6.3k
4,owid          / ,covid-19-data,https://github.com/owid/covid-19-data,5k
5,pcm-dpc         ,COVID-19,https://github.com/pcm-dpc/COVID-19,3.9k
6,ieee8023        ,covid-chestxray-dataset,https://github.com/ieee8023/covid-chestxray-dataset,2.8k
7,disease-sh      ,API,https://github.com/disease-sh/API,2.3k
8,geohot          ,corona,https://github.com/geohot/corona,2.2k
9,WorldHealthOrgan,app,https://github.com/WorldHealthOrganization/app,2.1k
10,ahmadawais      ,corona-cli,https://github.com/ahmadawais/corona-cli,1.8k
11,corona-warn-app ,cwa-server,https://github.com/corona-warn-app/cwa-server,1.8k
12,ExpDev07        ,coronavirus-tracker-api,https://github.com/ExpDev07/coronavirus-tracker-api,1.6k
13,github          ,covid19-dashboard,https://github.com/github/covid19-dashboard,1.5k
14,soroushchehresa ,awesome-coronavirus,https://github.com/soroushchehresa/awesome-coronavirus,1.5k
15,mhdhejazi       ,CoronaTracker,https://github.com/mhdhejazi/CoronaTracker,1.5k
16,neherlab        ,covid19_scenarios,https://github.com/neherlab/covid19_scenarios,1.4k
17,covidpass-org   ,covidpass,https://github.com/covidpass-org/covidpass,1.2k
18,pomber          ,covid19,https://github.com/pomber/covid19,1.2k
19,chandrikadeb7   ,Face-Mask-Detection,https://github.com/chandrikadeb7/Face-Mask-Detection,1.2k
20,chrismattmann   ,tika-python,https://github.com/chrismattmann/tika-python,1.1k
21,datasets        ,covid-19,https://github.com/datasets/covid-19,1.1k
22,FoldingAtHome   ,coronavirus,https://github.com/FoldingAtHome/coronavirus,1.1k
23,lindawangg      ,COVID-Net,https://github.com/lindawangg/COVID-Net,1.1k
24,cyberman54      ,ESP32-Paxcounter,https://github.com/cyberman54/ESP32-Paxcounter,984
25,ImperialCollegeL,covid19model,https://github.com/ImperialCollegeLondon/covid19model,943
26,UCSD-AI4H       ,COVID-CT,https://github.com/UCSD-AI4H/COVID-CT,925
27,MoH-Malaysia    ,covid19-public,https://github.com/MoH-Malaysia/covid19-public,907
28,nychealth       ,coronavirus-data,https://github.com/nychealth/coronavirus-data,907
29,makers-for-life ,makair,https://github.com/makers-for-life/makair,770
