,Username,Repo_Name,Repo-Url,Repo_stars
0,ovity          /,octotree,https://github.com/ovity/octotree,21.8k
1,gitpod-io       ,gitpod,https://github.com/gitpod-io/gitpod,7.2k
2,reviewdog       ,reviewdog,https://github.com/reviewdog/reviewdog,4.8k
3,danger          ,danger,https://github.com/danger/danger,4.7k
4,danger          ,danger-js,https://github.com/danger/danger-js,4.2k
5,joho          / ,awesome-code-review,https://github.com/joho/awesome-code-review,3.3k
6,houndci         ,hound,https://github.com/houndci/hound,1.9k
7,ajinabraham     ,nodejsscan,https://github.com/ajinabraham/nodejsscan,1.9k
8,mbj          /  ,mutant,https://github.com/mbj/mutant,1.8k
9,microsoft       ,vscode-pull-request-github,https://github.com/microsoft/vscode-pull-request-github,1.8k
10,crev-dev        ,cargo-crev,https://github.com/crev-dev/cargo-crev,1.5k
11,reviewboard     ,reviewboard,https://github.com/reviewboard/reviewboard,1.4k
12,ryanmcdermott   ,code-review-tips,https://github.com/ryanmcdermott/code-review-tips,1.1k
13,bit4woo         ,python_sec,https://github.com/bit4woo/python_sec,1.1k
14,code-review-chec,java-concurrency,https://github.com/code-review-checklists/java-concurrency,1k
15,Tencent         ,CodeAnalysis,https://github.com/Tencent/CodeAnalysis,993
16,jiangsir404     ,Audit-Learning,https://github.com/jiangsir404/Audit-Learning,824
17,TeamCodeStream  ,codestream,https://github.com/TeamCodeStream/codestream,741
18,enlightn        ,enlightn,https://github.com/enlightn/enlightn,623
19,palantir        ,policy-bot,https://github.com/palantir/policy-bot,453
20,bsamseth        ,cpp-project,https://github.com/bsamseth/cpp-project,448
21,uwolfer         ,gerrit-intellij-plugin,https://github.com/uwolfer/gerrit-intellij-plugin,431
22,mookid          ,diffr,https://github.com/mookid/diffr,412
23,mgreiler        ,code-review-checklist,https://github.com/mgreiler/code-review-checklist,395
24,JetBrains       ,Qodana,https://github.com/JetBrains/Qodana,348
25,dpnishant       ,raptor,https://github.com/dpnishant/raptor,327
26,sjparkinson     ,static-review,https://github.com/sjparkinson/static-review,326
27,burrito-brothers,shiba,https://github.com/burrito-brothers/shiba,288
28,charignon       ,github-review,https://github.com/charignon/github-review,275
29,wandersoncferrei,code-review,https://github.com/wandersoncferreira/code-review,265
